pin_id,cell_type,direction,is_clk,fanout,slack_min,slew_r,slew_f
_08822_/A,sky130_fd_sc_hd__nor2_1,input,0,0,2.816326,0.000000,0.000000
_08822_/B,sky130_fd_sc_hd__nor2_1,input,0,0,2.810633,0.000000,0.000000
_08822_/Y,sky130_fd_sc_hd__nor2_1,output,0,664,2.810633,0.538541,0.070125
_08823_/A,sky130_fd_sc_hd__nor2_1,input,0,0,2.816290,0.000000,0.000000
_08823_/B,sky130_fd_sc_hd__nor2_1,input,0,0,2.810597,0.000000,0.000000
_08823_/Y,sky130_fd_sc_hd__nor2_1,output,0,988,2.810597,0.545855,0.070099
_08824_/A,sky130_fd_sc_hd__nand2_1,input,0,0,3.848581,0.538541,0.070125
_08824_/B,sky130_fd_sc_hd__nand2_1,input,0,0,3.868242,0.545855,0.070099
_08824_/Y,sky130_fd_sc_hd__nand2_1,output,0,433,3.848581,0.198282,0.138905
_08828_/A_N,sky130_fd_sc_hd__nand2b_1,input,0,0,3.242807,0.000000,0.000000
_08828_/B,sky130_fd_sc_hd__nand2b_1,input,0,0,3.182726,0.000000,0.000000
_08828_/Y,sky130_fd_sc_hd__nand2b_1,output,0,943,3.182726,0.224809,0.131747
_08829_/A_N,sky130_fd_sc_hd__nand2b_1,input,0,0,3.318542,0.000000,0.000000
_08829_/B,sky130_fd_sc_hd__nand2b_1,input,0,0,3.258825,0.000000,0.000000
_08829_/Y,sky130_fd_sc_hd__nand2b_1,output,0,945,3.258825,0.291368,0.158279
_08830_/A,sky130_fd_sc_hd__nor2_2,input,0,0,4.620680,0.194195,0.095589
_08830_/B,sky130_fd_sc_hd__nor2_2,input,0,0,4.702657,0.195155,0.095591
_08830_/Y,sky130_fd_sc_hd__nor2_2,output,0,361,4.620680,0.555417,0.065468
_08832_/A_N,sky130_fd_sc_hd__nand2b_1,input,0,0,2.713667,0.000000,0.000000
_08832_/B,sky130_fd_sc_hd__nand2b_1,input,0,0,2.653929,0.000000,0.000000
_08832_/Y,sky130_fd_sc_hd__nand2b_1,output,0,1067,2.653929,0.287500,0.157843
_08833_/A,sky130_fd_sc_hd__nand2_1,input,0,0,2.749086,0.000000,0.000000
_08833_/B,sky130_fd_sc_hd__nand2_1,input,0,0,2.769293,0.000000,0.000000
_08833_/Y,sky130_fd_sc_hd__nand2_1,output,0,1137,2.749086,0.470890,0.225207
_08834_/A,sky130_fd_sc_hd__nor2_1,input,0,0,4.764066,0.198350,0.096580
_08834_/B,sky130_fd_sc_hd__nor2_1,input,0,0,4.312378,0.470890,0.225207
_08834_/Y,sky130_fd_sc_hd__nor2_1,output,0,401,4.312378,0.407788,0.096659
_08837_/A1,sky130_fd_sc_hd__a22o_1,input,0,0,3.929572,0.219414,0.137093
_08837_/A2,sky130_fd_sc_hd__a22o_1,input,0,0,5.577915,0.221502,0.092429
_08837_/B1,sky130_fd_sc_hd__a22o_1,input,0,0,5.203319,0.397029,0.135297
_08837_/B2,sky130_fd_sc_hd__a22o_1,input,0,0,3.925769,0.218307,0.136562
_08837_/X,sky130_fd_sc_hd__a22o_1,output,0,10,3.925769,0.128377,0.094790
_08838_/A,sky130_fd_sc_hd__nand2_1,input,0,0,3.234510,0.000000,0.000000
_08838_/B,sky130_fd_sc_hd__nand2_1,input,0,0,3.254992,0.000000,0.000000
_08838_/Y,sky130_fd_sc_hd__nand2_1,output,0,1131,3.234510,0.729526,0.350439
_08839_/A_N,sky130_fd_sc_hd__nand2b_1,input,0,0,3.497692,0.000000,0.000000
_08839_/B,sky130_fd_sc_hd__nand2b_1,input,0,0,3.439863,0.000000,0.000000
_08839_/Y,sky130_fd_sc_hd__nand2b_1,output,0,1163,3.439862,0.584388,0.277199
_08841_/A,sky130_fd_sc_hd__nor2_2,input,0,0,4.676418,0.729526,0.350439
_08841_/B,sky130_fd_sc_hd__nor2_2,input,0,0,4.482215,0.584388,0.277199
_08841_/Y,sky130_fd_sc_hd__nor2_2,output,0,431,4.482215,0.556128,0.130071
_08844_/A,sky130_fd_sc_hd__nor2_2,input,0,0,4.980218,0.198350,0.096580
_08844_/B,sky130_fd_sc_hd__nor2_2,input,0,0,4.854357,0.584388,0.277199
_08844_/Y,sky130_fd_sc_hd__nor2_2,output,0,411,4.854357,0.902417,0.141804
_08846_/A,sky130_fd_sc_hd__nor3_1,input,0,0,4.188340,0.000000,0.000000
_08846_/B,sky130_fd_sc_hd__nor3_1,input,0,0,4.186591,0.000000,0.000000
_08846_/C,sky130_fd_sc_hd__nor3_1,input,0,0,4.810913,0.729526,0.350439
_08846_/Y,sky130_fd_sc_hd__nor3_1,output,0,391,4.186591,0.549990,0.121133
_08848_/A,sky130_fd_sc_hd__nor3_1,input,0,0,4.752455,0.000000,0.000000
_08848_/B,sky130_fd_sc_hd__nor3_1,input,0,0,4.749125,0.000000,0.000000
_08848_/C,sky130_fd_sc_hd__nor3_1,input,0,0,5.319243,0.584388,0.277199
_08848_/Y,sky130_fd_sc_hd__nor3_1,output,0,427,4.749125,0.811359,0.118631
_08850_/A1,sky130_fd_sc_hd__a22o_1,input,0,0,4.224927,0.219414,0.137093
_08850_/A2,sky130_fd_sc_hd__a22o_1,input,0,0,5.872678,0.195762,0.096100
_08850_/B1,sky130_fd_sc_hd__a22o_1,input,0,0,6.181756,0.243862,0.106251
_08850_/B2,sky130_fd_sc_hd__a22o_1,input,0,0,4.222989,0.219738,0.136947
_08850_/X,sky130_fd_sc_hd__a22o_1,output,0,14,4.222989,0.128928,0.093930
_08851_/A1,sky130_fd_sc_hd__a221oi_1,input,0,0,3.916977,0.218766,0.137130
_08851_/A2,sky130_fd_sc_hd__a221oi_1,input,0,0,5.708126,0.371217,0.130880
_08851_/B1,sky130_fd_sc_hd__a221oi_1,input,0,0,5.565643,0.180193,0.084543
_08851_/B2,sky130_fd_sc_hd__a221oi_1,input,0,0,3.915400,0.220224,0.137322
_08851_/C1,sky130_fd_sc_hd__a221oi_1,input,0,0,4.222989,0.128928,0.093930
_08851_/Y,sky130_fd_sc_hd__a221oi_1,output,0,12,3.915400,0.752209,0.117085
_08852_/A,sky130_fd_sc_hd__nor2_2,input,0,0,4.649440,0.287500,0.157843
_08852_/B,sky130_fd_sc_hd__nor2_2,input,0,0,4.649180,0.291368,0.158279
_08852_/Y,sky130_fd_sc_hd__nor2_2,output,0,435,4.649180,1.131693,0.119059
_08855_/A,sky130_fd_sc_hd__nor3_1,input,0,0,4.603840,0.000000,0.000000
_08855_/B,sky130_fd_sc_hd__nor3_1,input,0,0,4.602091,0.000000,0.000000
_08855_/C,sky130_fd_sc_hd__nor3_1,input,0,0,4.841835,0.470890,0.225207
_08855_/Y,sky130_fd_sc_hd__nor3_1,output,0,443,4.602091,0.550233,0.088199
_08858_/A,sky130_fd_sc_hd__nor3_1,input,0,0,4.375638,0.000000,0.000000
_08858_/B,sky130_fd_sc_hd__nor3_1,input,0,0,4.373889,0.000000,0.000000
_08858_/C,sky130_fd_sc_hd__nor3_1,input,0,0,4.678021,0.224809,0.131747
_08858_/Y,sky130_fd_sc_hd__nor3_1,output,0,441,4.373889,0.550647,0.056464
_08860_/A,sky130_fd_sc_hd__nor2_2,input,0,0,5.039080,0.195155,0.095591
_08860_/B,sky130_fd_sc_hd__nor2_2,input,0,0,4.733750,0.729526,0.350439
_08860_/Y,sky130_fd_sc_hd__nor2_2,output,0,417,4.733750,0.556652,0.135079
_08862_/A1,sky130_fd_sc_hd__a22o_1,input,0,0,4.284617,0.219414,0.137093
_08862_/A2,sky130_fd_sc_hd__a22o_1,input,0,0,5.999953,0.135515,0.082541
_08862_/B1,sky130_fd_sc_hd__a22o_1,input,0,0,5.984424,0.157212,0.087215
_08862_/B2,sky130_fd_sc_hd__a22o_1,input,0,0,4.282678,0.219738,0.136947
_08862_/X,sky130_fd_sc_hd__a22o_1,output,0,14,4.282678,0.128941,0.093939
_08863_/A1,sky130_fd_sc_hd__a221oi_1,input,0,0,3.977183,0.218766,0.137130
_08863_/A2,sky130_fd_sc_hd__a221oi_1,input,0,0,5.728931,0.117590,0.077753
_08863_/B1,sky130_fd_sc_hd__a221oi_1,input,0,0,5.748343,0.179518,0.092215
_08863_/B2,sky130_fd_sc_hd__a221oi_1,input,0,0,3.973662,0.218793,0.136938
_08863_/C1,sky130_fd_sc_hd__a221oi_1,input,0,0,4.282678,0.128941,0.093939
_08863_/Y,sky130_fd_sc_hd__a221oi_1,output,0,12,3.973662,0.761096,0.114418
_08864_/A,sky130_fd_sc_hd__nor2_2,input,0,0,4.709764,0.194195,0.095589
_08864_/B,sky130_fd_sc_hd__nor2_2,input,0,0,4.826841,0.091137,0.071318
_08864_/Y,sky130_fd_sc_hd__nor2_2,output,0,385,4.709764,0.463675,0.058247
_08866_/A,sky130_fd_sc_hd__nor2_1,input,0,0,4.903329,0.194195,0.095589
_08866_/B,sky130_fd_sc_hd__nor2_1,input,0,0,4.558466,0.470890,0.225207
_08866_/Y,sky130_fd_sc_hd__nor2_1,output,0,413,4.558466,0.658987,0.119579
_08869_/A,sky130_fd_sc_hd__nor2_1,input,0,0,4.787821,0.729526,0.350439
_08869_/B,sky130_fd_sc_hd__nor2_1,input,0,0,4.466607,0.470890,0.225207
_08869_/Y,sky130_fd_sc_hd__nor2_1,output,0,363,4.466607,0.663913,0.154140
_08871_/A1,sky130_fd_sc_hd__a222oi_1,input,0,0,4.007769,0.216092,0.136553
_08871_/A2,sky130_fd_sc_hd__a222oi_1,input,0,0,5.914647,0.220587,0.092628
_08871_/B1,sky130_fd_sc_hd__a222oi_1,input,0,0,5.630879,0.133412,0.082469
_08871_/B2,sky130_fd_sc_hd__a222oi_1,input,0,0,4.009037,0.219684,0.137029
_08871_/C1,sky130_fd_sc_hd__a222oi_1,input,0,0,3.982700,0.218307,0.136562
