pin_id,cell_type,direction,is_clk,fanout,slack_min,slew_r,slew_f
_051_/A1,sky130_fd_sc_hd__a31oi_1,input,0,0,3.383116,0.594854,0.178699
_051_/A2,sky130_fd_sc_hd__a31oi_1,input,0,0,3.260044,0.480635,0.149461
_051_/A3,sky130_fd_sc_hd__a31oi_1,input,0,0,3.116226,0.363014,0.118676
_051_/B1,sky130_fd_sc_hd__a31oi_1,input,0,0,3.153970,0.616005,0.181179
_051_/Y,sky130_fd_sc_hd__a31oi_1,output,0,25,3.116226,2.178440,0.538692
_052_/A0,sky130_fd_sc_hd__mux2_2,input,0,0,1.689099,0.000000,0.000000
_052_/A1,sky130_fd_sc_hd__mux2_2,input,0,0,1.986106,0.167086,0.069147
_052_/S,sky130_fd_sc_hd__mux2_2,input,0,0,3.116226,2.178440,0.538692
_052_/X,sky130_fd_sc_hd__mux2_2,output,0,2,1.689099,0.098940,0.155611
_053_/A0,sky130_fd_sc_hd__mux2_2,input,0,0,1.689099,0.000000,0.000000
_053_/A1,sky130_fd_sc_hd__mux2_2,input,0,0,1.773016,0.180322,0.237287
_053_/S,sky130_fd_sc_hd__mux2_2,input,0,0,3.116226,2.178440,0.538692
_053_/X,sky130_fd_sc_hd__mux2_2,output,0,2,1.689099,0.098940,0.156424
_054_/A0,sky130_fd_sc_hd__mux2_2,input,0,0,1.689099,0.000000,0.000000
_054_/A1,sky130_fd_sc_hd__mux2_2,input,0,0,1.773016,0.180322,0.237287
_054_/S,sky130_fd_sc_hd__mux2_2,input,0,0,3.116226,2.178440,0.538692
_054_/X,sky130_fd_sc_hd__mux2_2,output,0,2,1.689099,0.098940,0.156424
_055_/A0,sky130_fd_sc_hd__mux2_2,input,0,0,1.689099,0.000000,0.000000
_055_/A1,sky130_fd_sc_hd__mux2_2,input,0,0,1.773016,0.180322,0.237287
_055_/S,sky130_fd_sc_hd__mux2_2,input,0,0,3.116226,2.178440,0.538692
_055_/X,sky130_fd_sc_hd__mux2_2,output,0,2,1.689099,0.098940,0.156424
_056_/A0,sky130_fd_sc_hd__mux2_2,input,0,0,1.689099,0.000000,0.000000
_056_/A1,sky130_fd_sc_hd__mux2_2,input,0,0,1.773016,0.180322,0.237287
_056_/S,sky130_fd_sc_hd__mux2_2,input,0,0,3.116226,2.178440,0.538692
_056_/X,sky130_fd_sc_hd__mux2_2,output,0,2,1.689099,0.098940,0.156424
_057_/A0,sky130_fd_sc_hd__mux2_2,input,0,0,1.689099,0.000000,0.000000
_057_/A1,sky130_fd_sc_hd__mux2_2,input,0,0,1.773016,0.180322,0.237287
_057_/S,sky130_fd_sc_hd__mux2_2,input,0,0,3.116226,2.178440,0.538692
_057_/X,sky130_fd_sc_hd__mux2_2,output,0,2,1.689099,0.098940,0.156424
_058_/A_N,sky130_fd_sc_hd__nand2b_1,input,0,0,2.480730,0.198680,0.076840
_058_/B,sky130_fd_sc_hd__nand2b_1,input,0,0,2.159395,0.273280,0.096484
_058_/Y,sky130_fd_sc_hd__nand2b_1,output,0,59,2.159395,0.733470,0.348663
_059_/A_N,sky130_fd_sc_hd__nand2b_1,input,0,0,2.635499,0.616005,0.181179
_059_/B,sky130_fd_sc_hd__nand2b_1,input,0,0,3.074178,0.733470,0.348663
_059_/Y,sky130_fd_sc_hd__nand2b_1,output,0,9,2.635499,0.885372,0.429025
_060_/A0,sky130_fd_sc_hd__mux2_2,input,0,0,1.689099,0.000000,0.000000
_060_/A1,sky130_fd_sc_hd__mux2_2,input,0,0,1.773016,0.180322,0.237287
_060_/S,sky130_fd_sc_hd__mux2_2,input,0,0,3.116226,2.178440,0.538692
_060_/X,sky130_fd_sc_hd__mux2_2,output,0,2,1.689099,0.098940,0.156424
_061_/A0,sky130_fd_sc_hd__mux2_2,input,0,0,1.689099,0.000000,0.000000
_061_/A1,sky130_fd_sc_hd__mux2_2,input,0,0,1.773016,0.180322,0.237287
_061_/S,sky130_fd_sc_hd__mux2_2,input,0,0,3.116226,2.178440,0.538692
_061_/X,sky130_fd_sc_hd__mux2_2,output,0,2,1.689099,0.098940,0.156424
_062_/A,sky130_fd_sc_hd__nor2b_1,input,0,0,2.523481,0.198680,0.076840
_062_/B_N,sky130_fd_sc_hd__nor2b_1,input,0,0,2.580305,0.273280,0.096484
_062_/Y,sky130_fd_sc_hd__nor2b_1,output,0,61,2.523481,0.288370,0.078617
_064_/A_N,sky130_fd_sc_hd__and4b_1,input,0,0,3.229908,0.616005,0.181179
_064_/B,sky130_fd_sc_hd__and4b_1,input,0,0,2.531083,0.363014,0.118676
