pin_id,cell_type,direction,is_clk,fanout,slack_min,slew_r,slew_f
_4351_/A,sky130_fd_sc_hd__nor3_1,input,0,0,3.452350,0.190955,0.074166
_4351_/B,sky130_fd_sc_hd__nor3_1,input,0,0,3.413676,0.190199,0.073813
_4351_/C,sky130_fd_sc_hd__nor3_1,input,0,0,3.433834,0.562179,0.168066
_4351_/Y,sky130_fd_sc_hd__nor3_1,output,0,262,3.413676,0.557772,0.100662
_4352_/A,sky130_fd_sc_hd__nor2_1,input,0,0,2.908713,0.372184,0.325643
_4352_/B,sky130_fd_sc_hd__nor2_1,input,0,0,2.894761,0.368224,0.323398
_4352_/Y,sky130_fd_sc_hd__nor2_1,output,0,371,2.894761,0.445674,0.086985
_4353_/A,sky130_fd_sc_hd__nand2_1,input,0,0,2.730848,0.131548,0.205451
_4353_/B,sky130_fd_sc_hd__nand2_1,input,0,0,2.601555,0.000000,0.000000
_4353_/Y,sky130_fd_sc_hd__nand2_1,output,0,489,2.601555,0.219881,0.104924
_4354_/A,sky130_fd_sc_hd__nor3_1,input,0,0,3.413676,0.557772,0.100662
_4354_/B,sky130_fd_sc_hd__nor3_1,input,0,0,3.474954,0.445674,0.086985
_4354_/C,sky130_fd_sc_hd__nor3_1,input,0,0,3.427529,0.321959,0.122301
_4354_/Y,sky130_fd_sc_hd__nor3_1,output,0,260,3.413675,0.546707,0.096490
_4355_/A1,sky130_fd_sc_hd__a31oi_1,input,0,0,2.583764,0.562179,0.168066
_4355_/A2,sky130_fd_sc_hd__a31oi_1,input,0,0,2.611495,0.372184,0.325643
_4355_/A3,sky130_fd_sc_hd__a31oi_1,input,0,0,2.611474,0.368224,0.323398
_4355_/B1,sky130_fd_sc_hd__a31oi_1,input,0,0,3.413675,0.546707,0.096490
_4355_/Y,sky130_fd_sc_hd__a31oi_1,output,0,258,2.583764,0.493717,0.160127
_4357_/A_N,sky130_fd_sc_hd__nand3b_1,input,0,0,3.488203,0.124705,0.080455
_4357_/B,sky130_fd_sc_hd__nand3b_1,input,0,0,2.294677,0.000000,0.000000
_4357_/C,sky130_fd_sc_hd__nand3b_1,input,0,0,2.423108,0.562179,0.168066
_4357_/Y,sky130_fd_sc_hd__nand3b_1,output,0,82,2.294677,0.205578,0.136035
_4358_/A,sky130_fd_sc_hd__inv_1,input,0,0,2.468311,0.420684,0.140044
_4358_/Y,sky130_fd_sc_hd__inv_1,output,0,39,2.468311,0.145808,0.090022
_4359_/A,sky130_fd_sc_hd__nor2b_1,input,0,0,2.496604,0.120909,0.056423
_4359_/B_N,sky130_fd_sc_hd__nor2b_1,input,0,0,3.294628,0.601238,0.174410
_4359_/Y,sky130_fd_sc_hd__nor2b_1,output,0,208,2.496604,0.702137,0.125598
_4361_/A,sky130_fd_sc_hd__nor2_1,input,0,0,3.465781,0.610471,0.175193
_4361_/B,sky130_fd_sc_hd__nor2_1,input,0,0,3.337453,0.371278,0.130753
_4361_/Y,sky130_fd_sc_hd__nor2_1,output,0,304,3.337453,0.365641,0.108172
_4363_/A,sky130_fd_sc_hd__nand2_1,input,0,0,2.096514,0.151135,0.087232
_4363_/B,sky130_fd_sc_hd__nand2_1,input,0,0,3.438753,0.508766,0.156361
_4363_/Y,sky130_fd_sc_hd__nand2_1,output,0,5,2.096514,0.126737,0.087973
_4366_/A1,sky130_fd_sc_hd__a22oi_1,input,0,0,3.365198,0.610471,0.175193
_4366_/A2,sky130_fd_sc_hd__a22oi_1,input,0,0,2.695125,0.173357,0.092059
_4366_/B1,sky130_fd_sc_hd__a22oi_1,input,0,0,2.678929,0.187852,0.095418
_4366_/B2,sky130_fd_sc_hd__a22oi_1,input,0,0,3.024718,0.371278,0.130753
_4366_/Y,sky130_fd_sc_hd__a22oi_1,output,0,11,2.678929,0.456262,0.138670
_4367_/A,sky130_fd_sc_hd__nand2_1,input,0,0,2.096514,0.126737,0.087973
_4367_/B,sky130_fd_sc_hd__nand2_1,input,0,0,2.678929,0.085178,0.070407
