pin_id,cell_type,direction,is_clk,fanout,slack_min,slew_r,slew_f
UPDATE_COEFFICIENTS.tapwidx[0]$_SDFFE_PP0P_/D,sky130_fd_sc_hd__dfxtp_1,input,0,0,INF,0.105442,0.083229
UPDATE_COEFFICIENTS.tapwidx[0]$_SDFFE_PP0P_/Q,sky130_fd_sc_hd__dfxtp_1,output,0,2393,INF,1.073072,0.299524
UPDATE_COEFFICIENTS.tapwidx[0]$_SDFFE_PP0P_/CLK,sky130_fd_sc_hd__dfxtp_1,input,1,0,INF,0.000000,0.000000
UPDATE_COEFFICIENTS.tapwidx[1]$_SDFFE_PP0P_/D,sky130_fd_sc_hd__dfxtp_1,input,0,0,INF,0.130151,0.084350
UPDATE_COEFFICIENTS.tapwidx[1]$_SDFFE_PP0P_/Q,sky130_fd_sc_hd__dfxtp_1,output,0,2395,INF,0.614174,0.181936
UPDATE_COEFFICIENTS.tapwidx[1]$_SDFFE_PP0P_/CLK,sky130_fd_sc_hd__dfxtp_1,input,1,0,INF,0.000000,0.000000
UPDATE_COEFFICIENTS.tapwidx[2]$_SDFFE_PP0P_/D,sky130_fd_sc_hd__dfxtp_1,input,0,0,INF,0.268945,0.172702
UPDATE_COEFFICIENTS.tapwidx[2]$_SDFFE_PP0P_/Q,sky130_fd_sc_hd__dfxtp_1,output,0,2385,INF,0.535440,0.161339
UPDATE_COEFFICIENTS.tapwidx[2]$_SDFFE_PP0P_/CLK,sky130_fd_sc_hd__dfxtp_1,input,1,0,INF,0.000000,0.000000
UPDATE_COEFFICIENTS.tapwidx[3]$_SDFFE_PP0P_/D,sky130_fd_sc_hd__dfxtp_1,input,0,0,INF,0.105356,0.082682
UPDATE_COEFFICIENTS.tapwidx[3]$_SDFFE_PP0P_/Q,sky130_fd_sc_hd__dfxtp_1,output,0,2379,INF,0.833363,0.239734
UPDATE_COEFFICIENTS.tapwidx[3]$_SDFFE_PP0P_/CLK,sky130_fd_sc_hd__dfxtp_1,input,1,0,INF,0.000000,0.000000
UPDATE_COEFFICIENTS.tapwidx[4]$_SDFFE_PP0P_/D,sky130_fd_sc_hd__dfxtp_1,input,0,0,INF,0.457549,0.102632
UPDATE_COEFFICIENTS.tapwidx[4]$_SDFFE_PP0P_/Q,sky130_fd_sc_hd__dfxtp_1,output,0,2373,INF,0.704937,0.205266
UPDATE_COEFFICIENTS.tapwidx[4]$_SDFFE_PP0P_/CLK,sky130_fd_sc_hd__dfxtp_1,input,1,0,INF,0.000000,0.000000
