pin_id,cell_type,direction,is_clk,fanout,slack_min,slew_r,slew_f
_351_/A,sky130_fd_sc_hd__nor4_1,input,0,0,2.744105,0.318809,0.107388
_351_/B,sky130_fd_sc_hd__nor4_1,input,0,0,3.101866,0.631285,0.186496
_351_/C,sky130_fd_sc_hd__nor4_1,input,0,0,2.949399,0.504028,0.153038
_351_/D,sky130_fd_sc_hd__nor4_1,input,0,0,2.819769,0.394670,0.124646
_351_/Y,sky130_fd_sc_hd__nor4_1,output,0,156,2.744105,0.853315,0.105551
_353_/A0,sky130_fd_sc_hd__mux2_2,input,0,0,1.691518,0.121001,0.198373
_353_/A1,sky130_fd_sc_hd__mux2_2,input,0,0,1.691117,0.000000,0.000000
_353_/S,sky130_fd_sc_hd__mux2_2,input,0,0,3.156914,0.442380,0.143948
_353_/X,sky130_fd_sc_hd__mux2_2,output,0,2,1.691117,0.091946,0.158982
_354_/A0,sky130_fd_sc_hd__mux2_2,input,0,0,1.691518,0.121001,0.198373
_354_/A1,sky130_fd_sc_hd__mux2_2,input,0,0,1.691117,0.000000,0.000000
_354_/S,sky130_fd_sc_hd__mux2_2,input,0,0,3.156914,0.442380,0.143948
_354_/X,sky130_fd_sc_hd__mux2_2,output,0,2,1.691117,0.091946,0.158982
_355_/A0,sky130_fd_sc_hd__mux2_2,input,0,0,1.691518,0.121001,0.198373
_355_/A1,sky130_fd_sc_hd__mux2_2,input,0,0,1.691117,0.000000,0.000000
_355_/S,sky130_fd_sc_hd__mux2_2,input,0,0,3.156914,0.442380,0.143948
_355_/X,sky130_fd_sc_hd__mux2_2,output,0,2,1.691117,0.091946,0.158982
_356_/A0,sky130_fd_sc_hd__mux2_2,input,0,0,1.691518,0.121001,0.198373
_356_/A1,sky130_fd_sc_hd__mux2_2,input,0,0,1.691117,0.000000,0.000000
_356_/S,sky130_fd_sc_hd__mux2_2,input,0,0,3.156914,0.442380,0.143948
_356_/X,sky130_fd_sc_hd__mux2_2,output,0,2,1.691117,0.091946,0.158982
_357_/A0,sky130_fd_sc_hd__mux2_2,input,0,0,1.691518,0.121001,0.198373
_357_/A1,sky130_fd_sc_hd__mux2_2,input,0,0,1.691117,0.000000,0.000000
_357_/S,sky130_fd_sc_hd__mux2_2,input,0,0,3.156914,0.442380,0.143948
_357_/X,sky130_fd_sc_hd__mux2_2,output,0,2,1.691117,0.091946,0.158982
_358_/A0,sky130_fd_sc_hd__mux2_2,input,0,0,1.691518,0.121001,0.198373
_358_/A1,sky130_fd_sc_hd__mux2_2,input,0,0,1.691117,0.000000,0.000000
_358_/S,sky130_fd_sc_hd__mux2_2,input,0,0,3.156914,0.442380,0.143948
_358_/X,sky130_fd_sc_hd__mux2_2,output,0,2,1.691117,0.091946,0.158982
_359_/A0,sky130_fd_sc_hd__mux2_2,input,0,0,1.691518,0.121001,0.198373
_359_/A1,sky130_fd_sc_hd__mux2_2,input,0,0,1.691117,0.000000,0.000000
_359_/S,sky130_fd_sc_hd__mux2_2,input,0,0,3.156914,0.442380,0.143948
_359_/X,sky130_fd_sc_hd__mux2_2,output,0,2,1.691117,0.091946,0.158982
_360_/A0,sky130_fd_sc_hd__mux2_2,input,0,0,1.691518,0.121001,0.198373
_360_/A1,sky130_fd_sc_hd__mux2_2,input,0,0,1.691117,0.000000,0.000000
_360_/S,sky130_fd_sc_hd__mux2_2,input,0,0,3.156914,0.442380,0.143948
_360_/X,sky130_fd_sc_hd__mux2_2,output,0,2,1.691117,0.091946,0.158982
_362_/A,sky130_fd_sc_hd__or4_4,input,0,0,2.900901,0.189379,0.073680
_362_/B,sky130_fd_sc_hd__or4_4,input,0,0,2.902669,0.193005,0.074820
_362_/C,sky130_fd_sc_hd__or4_4,input,0,0,2.901918,0.193541,0.074582
_362_/D,sky130_fd_sc_hd__or4_4,input,0,0,2.972971,0.245533,0.088547
_362_/X,sky130_fd_sc_hd__or4_4,output,0,281,2.900901,0.167446,0.393268
_363_/A,sky130_fd_sc_hd__nor4_4,input,0,0,3.308246,0.563758,0.167613
_363_/B,sky130_fd_sc_hd__nor4_4,input,0,0,3.168498,0.441081,0.134857
_363_/C,sky130_fd_sc_hd__nor4_4,input,0,0,3.146139,0.425443,0.132197
_363_/D,sky130_fd_sc_hd__nor4_4,input,0,0,3.256688,0.167446,0.393268
_363_/Y,sky130_fd_sc_hd__nor4_4,output,0,265,3.146139,0.695040,0.091646
_364_/A,sky130_fd_sc_hd__nor4b_2,input,0,0,2.536278,0.343528,0.112955
_364_/B,sky130_fd_sc_hd__nor4b_2,input,0,0,2.422089,0.250799,0.088436
_364_/C,sky130_fd_sc_hd__nor4b_2,input,0,0,2.416828,0.247993,0.087589
_364_/D_N,sky130_fd_sc_hd__nor4b_2,input,0,0,3.146139,0.695040,0.091646
_364_/Y,sky130_fd_sc_hd__nor4b_2,output,0,248,2.416828,0.774631,0.100205
_365_/A,sky130_fd_sc_hd__or4b_1,input,0,0,2.515502,0.162040,0.066337
_365_/B,sky130_fd_sc_hd__or4b_1,input,0,0,2.584217,0.213121,0.080679
_365_/C,sky130_fd_sc_hd__or4b_1,input,0,0,2.515688,0.164425,0.067097
_365_/D_N,sky130_fd_sc_hd__or4b_1,input,0,0,2.942423,0.774631,0.100205
_365_/X,sky130_fd_sc_hd__or4b_1,output,0,231,2.515502,0.150063,0.316251
_366_/A,sky130_fd_sc_hd__or4_1,input,0,0,2.645262,0.351379,0.115623
_366_/B,sky130_fd_sc_hd__or4_1,input,0,0,2.407464,0.171275,0.069050
_366_/C,sky130_fd_sc_hd__or4_1,input,0,0,2.392495,0.162437,0.067292
_366_/D,sky130_fd_sc_hd__or4_1,input,0,0,2.708593,0.150063,0.316251
_366_/X,sky130_fd_sc_hd__or4_1,output,0,216,2.392495,0.178354,0.330872
_368_/A,sky130_fd_sc_hd__nor4_1,input,0,0,2.232565,0.299859,0.101256
_368_/B,sky130_fd_sc_hd__nor4_1,input,0,0,2.372503,0.415984,0.131744
_368_/C,sky130_fd_sc_hd__nor4_1,input,0,0,2.200974,0.283401,0.097356
_368_/D,sky130_fd_sc_hd__nor4_1,input,0,0,2.392495,0.178354,0.330872
_368_/Y,sky130_fd_sc_hd__nor4_1,output,0,120,2.200974,2.529917,0.143380
_369_/A_N,sky130_fd_sc_hd__nand2b_1,input,0,0,2.413833,0.000000,0.000000
_369_/B,sky130_fd_sc_hd__nand2b_1,input,0,0,3.815996,0.442380,0.143948
_369_/Y,sky130_fd_sc_hd__nand2b_1,output,0,105,2.413833,0.755538,0.365094
_371_/A,sky130_fd_sc_hd__nand2_1,input,0,0,2.728261,0.325919,0.118280
_371_/B,sky130_fd_sc_hd__nand2_1,input,0,0,2.519338,0.755538,0.365094
_371_/Y,sky130_fd_sc_hd__nand2_1,output,0,17,2.519338,0.204364,0.141405
_373_/A,sky130_fd_sc_hd__nor3_1,input,0,0,3.398934,0.318809,0.107388
_373_/B,sky130_fd_sc_hd__nor3_1,input,0,0,3.427629,0.504028,0.153038
_373_/C,sky130_fd_sc_hd__nor3_1,input,0,0,3.270114,0.394670,0.124646
_373_/Y,sky130_fd_sc_hd__nor3_1,output,0,154,3.270115,0.553707,0.088221
_374_/A,sky130_fd_sc_hd__and2_1,input,0,0,2.674070,0.631285,0.186496
_374_/B,sky130_fd_sc_hd__and2_1,input,0,0,3.699450,0.118806,0.078944
_374_/X,sky130_fd_sc_hd__and2_1,output,0,44,2.674071,0.641703,0.209418
_376_/A,sky130_fd_sc_hd__nor3_1,input,0,0,2.174954,0.000000,0.000000
_376_/B,sky130_fd_sc_hd__nor3_1,input,0,0,3.364512,0.204364,0.141405
_376_/C,sky130_fd_sc_hd__nor3_1,input,0,0,4.006563,0.641703,0.209418
_376_/Y,sky130_fd_sc_hd__nor3_1,output,0,12,2.174954,0.551931,0.109950
_377_/A,sky130_fd_sc_hd__nor4_1,input,0,0,2.944603,0.187802,0.073601
_377_/B,sky130_fd_sc_hd__nor4_1,input,0,0,2.943549,0.189284,0.073777
_377_/C,sky130_fd_sc_hd__nor4_1,input,0,0,3.032523,0.259280,0.090865
_377_/D,sky130_fd_sc_hd__nor4_1,input,0,0,3.100319,0.315246,0.105934
_377_/Y,sky130_fd_sc_hd__nor4_1,output,0,325,2.943549,0.853440,0.069461
_378_/A,sky130_fd_sc_hd__nor4_1,input,0,0,3.005331,0.227877,0.084297
_378_/B,sky130_fd_sc_hd__nor4_1,input,0,0,3.073756,0.283527,0.098596
_378_/C,sky130_fd_sc_hd__nor4_1,input,0,0,2.954611,0.192027,0.074175
_378_/D,sky130_fd_sc_hd__nor4_1,input,0,0,2.920380,0.168034,0.068414
_378_/Y,sky130_fd_sc_hd__nor4_1,output,0,354,2.920380,0.851431,0.066724
_379_/A,sky130_fd_sc_hd__nor4_1,input,0,0,3.728856,0.338010,0.112160
