pin_id,cell_type,direction,is_clk,fanout,slack_min,slew_r,slew_f
_11782_/A,sky130_fd_sc_hd__or2_1,input,0,0,4.124540,0.000000,0.000000
_11782_/B,sky130_fd_sc_hd__or2_1,input,0,0,4.127601,0.000000,0.000000
_11782_/X,sky130_fd_sc_hd__or2_1,output,0,1139,4.124540,0.375082,0.214756
_11785_/A,sky130_fd_sc_hd__nor2_1,input,0,0,2.680324,0.000000,0.000000
_11785_/B,sky130_fd_sc_hd__nor2_1,input,0,0,2.675120,0.000000,0.000000
_11785_/Y,sky130_fd_sc_hd__nor2_1,output,0,583,2.675120,0.395554,0.053358
_11786_/A,sky130_fd_sc_hd__nor2_1,input,0,0,2.713671,0.000000,0.000000
_11786_/B,sky130_fd_sc_hd__nor2_1,input,0,0,2.708160,0.000000,0.000000
_11786_/Y,sky130_fd_sc_hd__nor2_1,output,0,2010,2.708160,0.487142,0.063849
_11787_/A,sky130_fd_sc_hd__nand2_1,input,0,0,2.675120,0.395554,0.053358
_11787_/B,sky130_fd_sc_hd__nand2_1,input,0,0,2.708160,0.487142,0.063849
_11787_/Y,sky130_fd_sc_hd__nand2_1,output,0,457,2.675120,0.306645,0.163659
_11788_/A,sky130_fd_sc_hd__or3_1,input,0,0,3.210461,0.000000,0.000000
_11788_/B,sky130_fd_sc_hd__or3_1,input,0,0,4.124540,0.129826,0.081592
_11788_/C,sky130_fd_sc_hd__or3_1,input,0,0,3.694663,0.306645,0.163659
_11788_/X,sky130_fd_sc_hd__or3_1,output,0,321,3.210461,0.177469,0.242286
_11789_/A_N,sky130_fd_sc_hd__nand2b_2,input,0,0,4.189652,0.000000,0.000000
_11789_/B,sky130_fd_sc_hd__nand2b_2,input,0,0,4.083070,0.000000,0.000000
_11789_/Y,sky130_fd_sc_hd__nand2b_2,output,0,1118,4.083070,0.420483,0.211589
_11791_/A,sky130_fd_sc_hd__nor3_1,input,0,0,4.761596,0.114804,0.077802
_11791_/B,sky130_fd_sc_hd__nor3_1,input,0,0,4.109084,0.420483,0.211589
_11791_/C,sky130_fd_sc_hd__nor3_1,input,0,0,4.324746,0.114659,0.078030
_11791_/Y,sky130_fd_sc_hd__nor3_1,output,0,323,4.109084,0.694120,0.087967
_11792_/A,sky130_fd_sc_hd__or2_2,input,0,0,4.121194,0.000000,0.000000
_11792_/B,sky130_fd_sc_hd__or2_2,input,0,0,4.123568,0.000000,0.000000
_11792_/X,sky130_fd_sc_hd__or2_2,output,0,1470,4.121194,0.364182,0.279358
_11794_/A_N,sky130_fd_sc_hd__nand3b_1,input,0,0,3.892406,0.000000,0.000000
_11794_/B,sky130_fd_sc_hd__nand3b_1,input,0,0,3.958229,0.487142,0.063849
_11794_/C,sky130_fd_sc_hd__nand3b_1,input,0,0,3.867547,0.000000,0.000000
_11794_/Y,sky130_fd_sc_hd__nand3b_1,output,0,717,3.867547,0.292672,0.180404
_11795_/A,sky130_fd_sc_hd__nor3_1,input,0,0,4.528726,0.129826,0.081592
_11795_/B,sky130_fd_sc_hd__nor3_1,input,0,0,4.221990,0.364182,0.279358
_11795_/C,sky130_fd_sc_hd__nor3_1,input,0,0,3.999512,0.292672,0.180404
_11795_/Y,sky130_fd_sc_hd__nor3_1,output,0,673,3.999512,0.817187,0.087133
_11796_/A_N,sky130_fd_sc_hd__nand2b_2,input,0,0,4.156287,0.000000,0.000000
_11796_/B,sky130_fd_sc_hd__nand2b_2,input,0,0,4.049705,0.000000,0.000000
_11796_/Y,sky130_fd_sc_hd__nand2b_2,output,0,1466,4.049705,0.420483,0.211589
_11798_/A,sky130_fd_sc_hd__nor3_1,input,0,0,4.396795,0.129826,0.081592
_11798_/B,sky130_fd_sc_hd__nor3_1,input,0,0,4.049705,0.420483,0.211589
_11798_/C,sky130_fd_sc_hd__nor3_1,input,0,0,3.867547,0.292672,0.180404
_11798_/Y,sky130_fd_sc_hd__nor3_1,output,0,671,3.867547,0.813660,0.094085
_11799_/A_N,sky130_fd_sc_hd__nand2b_1,input,0,0,3.488812,0.000000,0.000000
