pin_id,cell_type,direction,is_clk,fanout,slack_min,slew_r,slew_f
_106_/A,sky130_fd_sc_hd__xnor2_1,input,0,0,2.737612,0.283174,0.288133
_106_/B,sky130_fd_sc_hd__xnor2_1,input,0,0,2.832083,0.364782,0.323835
_106_/Y,sky130_fd_sc_hd__xnor2_1,output,0,106,2.737612,1.012496,0.174575
_107_/A_N,sky130_fd_sc_hd__nand2b_1,input,0,0,3.050445,0.225997,0.262994
_107_/B,sky130_fd_sc_hd__nand2b_1,input,0,0,2.719983,0.287530,0.288613
_107_/Y,sky130_fd_sc_hd__nand2b_1,output,0,114,2.719983,0.368478,0.194076
_108_/A,sky130_fd_sc_hd__nor2b_1,input,0,0,3.234383,0.375779,0.328312
_108_/B_N,sky130_fd_sc_hd__nor2b_1,input,0,0,3.666052,0.379069,0.329682
_108_/Y,sky130_fd_sc_hd__nor2b_1,output,0,116,3.234383,0.532351,0.108030
_109_/A,sky130_fd_sc_hd__nor2b_1,input,0,0,2.837238,0.228038,0.263644
_109_/B_N,sky130_fd_sc_hd__nor2b_1,input,0,0,3.515121,0.278391,0.284475
_109_/Y,sky130_fd_sc_hd__nor2b_1,output,0,130,2.837238,0.671713,0.122645
_110_/A,sky130_fd_sc_hd__xnor2_1,input,0,0,3.088835,0.256885,0.275832
_110_/B,sky130_fd_sc_hd__xnor2_1,input,0,0,3.122816,0.286677,0.291254
_110_/Y,sky130_fd_sc_hd__xnor2_1,output,0,138,3.088835,0.829345,0.144049
_111_/A_N,sky130_fd_sc_hd__nand2b_1,input,0,0,3.009005,0.225997,0.262994
_111_/B,sky130_fd_sc_hd__nand2b_1,input,0,0,2.867726,0.113408,0.077997
_111_/Y,sky130_fd_sc_hd__nand2b_1,output,0,146,2.867726,0.326052,0.176928
_112_/A,sky130_fd_sc_hd__xor2_1,input,0,0,2.701370,0.257373,0.275592
_112_/B,sky130_fd_sc_hd__xor2_1,input,0,0,2.698441,0.261211,0.277060
_112_/X,sky130_fd_sc_hd__xor2_1,output,0,152,2.698441,0.899154,0.177522
_113_/A,sky130_fd_sc_hd__nor2b_1,input,0,0,3.255637,0.228038,0.263644
_113_/B_N,sky130_fd_sc_hd__nor2b_1,input,0,0,3.696013,0.307726,0.296155
_113_/Y,sky130_fd_sc_hd__nor2b_1,output,0,164,3.255637,0.580011,0.112135
_114_/A,sky130_fd_sc_hd__xnor2_1,input,0,0,2.853279,0.256885,0.275832
_114_/B,sky130_fd_sc_hd__xnor2_1,input,0,0,2.887203,0.286677,0.291254
_114_/Y,sky130_fd_sc_hd__xnor2_1,output,0,170,2.853279,0.440504,0.083847
_115_/A_N,sky130_fd_sc_hd__nand2b_1,input,0,0,3.090149,0.225997,0.262994
_115_/B,sky130_fd_sc_hd__nand2b_1,input,0,0,2.897041,0.113873,0.078054
_115_/Y,sky130_fd_sc_hd__nand2b_1,output,0,176,2.897041,0.402610,0.208816
_116_/A,sky130_fd_sc_hd__xor2_1,input,0,0,3.189161,0.257373,0.275592
_116_/B,sky130_fd_sc_hd__xor2_1,input,0,0,3.186223,0.261211,0.277060
_116_/X,sky130_fd_sc_hd__xor2_1,output,0,184,3.186223,0.930101,0.181239
_117_/A,sky130_fd_sc_hd__nor2b_1,input,0,0,3.337705,0.195972,0.246816
_117_/B_N,sky130_fd_sc_hd__nor2b_1,input,0,0,4.002774,0.379434,0.325417
_117_/Y,sky130_fd_sc_hd__nor2b_1,output,0,192,3.337705,0.851221,0.141805
_118_/A,sky130_fd_sc_hd__inv_1,input,0,0,2.495133,0.195972,0.246816
_118_/Y,sky130_fd_sc_hd__inv_1,output,0,199,2.495133,0.194291,0.074405
_119_/A,sky130_fd_sc_hd__nor2b_1,input,0,0,3.337303,0.379282,0.331434
_119_/B_N,sky130_fd_sc_hd__nor2b_1,input,0,0,3.481697,0.212928,0.255119
_119_/Y,sky130_fd_sc_hd__nor2b_1,output,0,192,3.337303,0.553584,0.110768
_120_/A,sky130_fd_sc_hd__inv_1,input,0,0,2.551939,0.254692,0.277865
_120_/Y,sky130_fd_sc_hd__inv_1,output,0,205,2.551939,0.164760,0.072683
_121_/A,sky130_fd_sc_hd__nor2b_4,input,0,0,2.783134,0.486244,0.373096
_121_/B_N,sky130_fd_sc_hd__nor2b_4,input,0,0,2.719375,0.202084,0.248107
_121_/Y,sky130_fd_sc_hd__nor2b_4,output,0,204,2.719375,0.325581,0.076604
_122_/A,sky130_fd_sc_hd__maj3_2,input,0,0,2.988891,0.225174,0.261836
_122_/B,sky130_fd_sc_hd__maj3_2,input,0,0,3.827615,0.164760,0.072683
_122_/C,sky130_fd_sc_hd__maj3_2,input,0,0,3.596768,0.325581,0.076604
_122_/X,sky130_fd_sc_hd__maj3_2,output,0,198,2.988891,0.176539,0.201137
_123_/A_N,sky130_fd_sc_hd__nand2b_1,input,0,0,3.049439,0.212928,0.255119
_123_/B,sky130_fd_sc_hd__nand2b_1,input,0,0,2.981810,0.379282,0.331434
_123_/Y,sky130_fd_sc_hd__nand2b_1,output,0,192,2.981810,0.262053,0.148922
_124_/A1,sky130_fd_sc_hd__o221a_4,input,0,0,3.396968,0.379434,0.325417
_124_/A2,sky130_fd_sc_hd__o221a_4,input,0,0,4.016140,0.194291,0.074405
_124_/B1,sky130_fd_sc_hd__o221a_4,input,0,0,4.011470,0.553584,0.110768
_124_/B2,sky130_fd_sc_hd__o221a_4,input,0,0,3.736866,0.176539,0.201137
_124_/C1,sky130_fd_sc_hd__o221a_4,input,0,0,3.562801,0.262053,0.148922
_124_/X,sky130_fd_sc_hd__o221a_4,output,0,184,3.396968,0.182720,0.152260
_125_/A_N,sky130_fd_sc_hd__nand2b_1,input,0,0,3.540567,0.104690,0.075556
_125_/B,sky130_fd_sc_hd__nand2b_1,input,0,0,3.187228,0.087782,0.071312
_125_/Y,sky130_fd_sc_hd__nand2b_1,output,0,178,3.187228,0.390818,0.204264
_126_/A_N,sky130_fd_sc_hd__nand2b_1,input,0,0,3.097160,0.172559,0.229371
_126_/B,sky130_fd_sc_hd__nand2b_1,input,0,0,3.036471,0.225997,0.262994
_126_/Y,sky130_fd_sc_hd__nand2b_1,output,0,178,3.036471,0.384063,0.200727
_127_/A1,sky130_fd_sc_hd__o311ai_4,input,0,0,3.828684,0.930101,0.181239
_127_/A2,sky130_fd_sc_hd__o311ai_4,input,0,0,3.784683,0.851221,0.141805
_127_/A3,sky130_fd_sc_hd__o311ai_4,input,0,0,3.396968,0.182720,0.152260
_127_/B1,sky130_fd_sc_hd__o311ai_4,input,0,0,3.434114,0.390818,0.204264
_127_/C1,sky130_fd_sc_hd__o311ai_4,input,0,0,3.036471,0.384063,0.200727
_127_/Y,sky130_fd_sc_hd__o311ai_4,output,0,170,3.036471,0.841308,0.162558
_128_/A,sky130_fd_sc_hd__nor2b_1,input,0,0,3.805083,0.113095,0.077900
_128_/B_N,sky130_fd_sc_hd__nor2b_1,input,0,0,3.693270,0.286677,0.291254
_128_/Y,sky130_fd_sc_hd__nor2b_1,output,0,166,3.693270,0.578493,0.111579
_129_/A,sky130_fd_sc_hd__nor2b_1,input,0,0,2.935637,0.307726,0.296155
_129_/B_N,sky130_fd_sc_hd__nor2b_1,input,0,0,3.303962,0.228038,0.263644
_129_/Y,sky130_fd_sc_hd__nor2b_1,output,0,164,2.935637,0.579051,0.111731
_130_/A1,sky130_fd_sc_hd__a311oi_2,input,0,0,4.675617,0.149320,0.086236
_130_/A2,sky130_fd_sc_hd__a311oi_2,input,0,0,4.639879,0.402610,0.208816
_130_/A3,sky130_fd_sc_hd__a311oi_2,input,0,0,4.589199,0.841308,0.162558
_130_/B1,sky130_fd_sc_hd__a311oi_2,input,0,0,4.620480,0.578493,0.111579
_130_/C1,sky130_fd_sc_hd__a311oi_2,input,0,0,4.239119,0.579051,0.111731
_130_/Y,sky130_fd_sc_hd__a311oi_2,output,0,156,4.239119,0.806179,0.176589
_131_/A_N,sky130_fd_sc_hd__nand2b_1,input,0,0,3.396591,0.103592,0.075403
_131_/B,sky130_fd_sc_hd__nand2b_1,input,0,0,3.012073,0.087782,0.071312
_131_/Y,sky130_fd_sc_hd__nand2b_1,output,0,148,3.012073,0.266027,0.151586
_132_/A_N,sky130_fd_sc_hd__nand2b_1,input,0,0,2.874258,0.172559,0.229371
_132_/B,sky130_fd_sc_hd__nand2b_1,input,0,0,2.585758,0.225997,0.262994
_132_/Y,sky130_fd_sc_hd__nand2b_1,output,0,148,2.585758,0.284655,0.159007
_133_/A1,sky130_fd_sc_hd__o311ai_2,input,0,0,4.432520,0.899154,0.177522
_133_/A2,sky130_fd_sc_hd__o311ai_2,input,0,0,4.201202,0.580011,0.112135
_133_/A3,sky130_fd_sc_hd__o311ai_2,input,0,0,4.740438,0.806179,0.176589
_133_/B1,sky130_fd_sc_hd__o311ai_2,input,0,0,3.804588,0.266027,0.151586
_133_/C1,sky130_fd_sc_hd__o311ai_2,input,0,0,3.436585,0.284655,0.159007
_133_/Y,sky130_fd_sc_hd__o311ai_2,output,0,140,3.436585,0.861441,0.185401
_134_/A,sky130_fd_sc_hd__nor2b_1,input,0,0,3.256769,0.112667,0.077931
