pin_id,cell_type,direction,is_clk,fanout,slack_min,slew_r,slew_f
_143_/A,sky130_fd_sc_hd__inv_2,input,0,0,2.914837,0.000000,0.000000
_143_/Y,sky130_fd_sc_hd__inv_2,output,0,301,2.914837,0.183060,0.048125
_144_/A,sky130_fd_sc_hd__nand2_1,input,0,0,2.908247,0.448623,0.139116
_144_/B,sky130_fd_sc_hd__nand2_1,input,0,0,2.914837,0.183060,0.048125
_144_/Y,sky130_fd_sc_hd__nand2_1,output,0,294,2.908247,0.265696,0.157431
_145_/A_N,sky130_fd_sc_hd__and2b_1,input,0,0,3.539536,0.000000,0.000000
_145_/B,sky130_fd_sc_hd__and2b_1,input,0,0,3.575902,0.204418,0.077618
_145_/X,sky130_fd_sc_hd__and2b_1,output,0,296,3.539536,0.290713,0.139323
_146_/A,sky130_fd_sc_hd__inv_1,input,0,0,3.437316,0.000000,0.000000
_146_/Y,sky130_fd_sc_hd__inv_1,output,0,298,3.437316,0.122653,0.041644
_147_/A,sky130_fd_sc_hd__maj3_2,input,0,0,3.601839,0.212616,0.080183
_147_/B,sky130_fd_sc_hd__maj3_2,input,0,0,3.632329,0.250893,0.089462
_147_/C,sky130_fd_sc_hd__maj3_2,input,0,0,3.437316,0.122653,0.041644
_147_/X,sky130_fd_sc_hd__maj3_2,output,0,296,3.437316,0.200820,0.210037
_148_/A_N,sky130_fd_sc_hd__nand2b_1,input,0,0,3.328361,0.204418,0.077618
_148_/B,sky130_fd_sc_hd__nand2b_1,input,0,0,2.960607,0.000000,0.000000
_148_/Y,sky130_fd_sc_hd__nand2b_1,output,0,296,2.960606,0.336754,0.181580
_149_/A1,sky130_fd_sc_hd__o221ai_4,input,0,0,3.315790,0.448623,0.139116
_149_/A2,sky130_fd_sc_hd__o221ai_4,input,0,0,2.918319,0.183060,0.048125
_149_/B1,sky130_fd_sc_hd__o221ai_4,input,0,0,3.539536,0.290713,0.139323
_149_/B2,sky130_fd_sc_hd__o221ai_4,input,0,0,3.437316,0.200820,0.210037
_149_/C1,sky130_fd_sc_hd__o221ai_4,input,0,0,2.960606,0.336754,0.181580
_149_/Y,sky130_fd_sc_hd__o221ai_4,output,0,294,2.918319,0.561166,0.120579
_150_/A,sky130_fd_sc_hd__xnor2_1,input,0,0,2.904296,0.313638,0.105788
_150_/B,sky130_fd_sc_hd__xnor2_1,input,0,0,2.596612,0.000000,0.000000
_150_/Y,sky130_fd_sc_hd__xnor2_1,output,0,294,2.596612,0.843520,0.146765
_151_/A1,sky130_fd_sc_hd__a21oi_1,input,0,0,2.937428,0.265696,0.157431
_151_/A2,sky130_fd_sc_hd__a21oi_1,input,0,0,2.989986,0.561166,0.120579
_151_/B1,sky130_fd_sc_hd__a21oi_1,input,0,0,2.712125,0.843520,0.146765
_151_/Y,sky130_fd_sc_hd__a21oi_1,output,0,147,2.712125,0.429832,0.151737
_152_/A,sky130_fd_sc_hd__nand3_1,input,0,0,2.596612,0.843520,0.146765
_152_/B,sky130_fd_sc_hd__nand3_1,input,0,0,2.908247,0.265696,0.157431
_152_/C,sky130_fd_sc_hd__nand3_1,input,0,0,2.918319,0.561166,0.120579
_152_/Y,sky130_fd_sc_hd__nand3_1,output,0,147,2.596612,0.214957,0.203573
_153_/A_N,sky130_fd_sc_hd__and3b_1,input,0,0,2.937428,0.429832,0.151737
_153_/B,sky130_fd_sc_hd__and3b_1,input,0,0,2.596612,0.214957,0.203573
_153_/C,sky130_fd_sc_hd__and3b_1,input,0,0,2.569702,0.250893,0.089462
_153_/X,sky130_fd_sc_hd__and3b_1,output,0,140,2.569702,0.213475,0.117884
_155_/A,sky130_fd_sc_hd__nor2b_1,input,0,0,2.712125,0.429832,0.151737
_155_/B_N,sky130_fd_sc_hd__nor2b_1,input,0,0,2.908247,0.214957,0.203573
_155_/Y,sky130_fd_sc_hd__nor2b_1,output,0,6,2.712125,0.282019,0.078713
_156_/A1,sky130_fd_sc_hd__a21oi_1,input,0,0,1.783650,0.000000,0.000000
_156_/A2,sky130_fd_sc_hd__a21oi_1,input,0,0,2.712125,0.282019,0.078713
_156_/B1,sky130_fd_sc_hd__a21oi_1,input,0,0,1.754778,0.250893,0.089462
_156_/Y,sky130_fd_sc_hd__a21oi_1,output,0,4,1.754778,0.334849,0.075854
_158_/A1,sky130_fd_sc_hd__a211oi_1,input,0,0,1.277395,0.000000,0.000000
_158_/A2,sky130_fd_sc_hd__a211oi_1,input,0,0,2.569702,0.109819,0.077169
_158_/B1,sky130_fd_sc_hd__a211oi_1,input,0,0,1.754778,0.334849,0.075854
_158_/C1,sky130_fd_sc_hd__a211oi_1,input,0,0,1.240319,0.000000,0.000000
_158_/Y,sky130_fd_sc_hd__a211oi_1,output,0,2,1.240319,0.553108,0.077202
_159_/A,sky130_fd_sc_hd__inv_1,input,0,0,3.723355,0.000000,0.000000
_159_/Y,sky130_fd_sc_hd__inv_1,output,0,86,3.723355,0.106828,0.036388
_160_/A,sky130_fd_sc_hd__inv_1,input,0,0,3.503620,0.000000,0.000000
_160_/Y,sky130_fd_sc_hd__inv_1,output,0,105,3.503620,0.106828,0.036388
_161_/A,sky130_fd_sc_hd__inv_1,input,0,0,3.454682,0.000000,0.000000
_161_/Y,sky130_fd_sc_hd__inv_1,output,0,124,3.454682,0.106828,0.036388
_162_/A,sky130_fd_sc_hd__inv_1,input,0,0,3.394777,0.000000,0.000000
_162_/Y,sky130_fd_sc_hd__inv_1,output,0,141,3.394777,0.106828,0.036388
_163_/A,sky130_fd_sc_hd__inv_1,input,0,0,3.433324,0.000000,0.000000
_163_/Y,sky130_fd_sc_hd__inv_1,output,0,160,3.433324,0.106828,0.036388
_164_/A,sky130_fd_sc_hd__inv_1,input,0,0,3.516881,0.000000,0.000000
_164_/Y,sky130_fd_sc_hd__inv_1,output,0,179,3.516881,0.106828,0.036388
_165_/A,sky130_fd_sc_hd__inv_1,input,0,0,3.454682,0.000000,0.000000
_165_/Y,sky130_fd_sc_hd__inv_1,output,0,198,3.454682,0.106828,0.036388
_166_/A,sky130_fd_sc_hd__inv_1,input,0,0,3.516886,0.000000,0.000000
_166_/Y,sky130_fd_sc_hd__inv_1,output,0,217,3.516886,0.106828,0.036388
_167_/A,sky130_fd_sc_hd__inv_1,input,0,0,3.450125,0.000000,0.000000
_167_/Y,sky130_fd_sc_hd__inv_1,output,0,236,3.450125,0.106828,0.036388
_168_/A,sky130_fd_sc_hd__inv_1,input,0,0,3.516920,0.000000,0.000000
_168_/Y,sky130_fd_sc_hd__inv_1,output,0,255,3.516920,0.106828,0.036388
_169_/A,sky130_fd_sc_hd__nor2b_1,input,0,0,3.721444,0.313638,0.105788
_169_/B_N,sky130_fd_sc_hd__nor2b_1,input,0,0,3.729408,0.000000,0.000000
_169_/Y,sky130_fd_sc_hd__nor2b_1,output,0,274,3.721444,0.284369,0.078501
_170_/A1,sky130_fd_sc_hd__a31oi_1,input,0,0,3.861595,0.843520,0.146765
_170_/A2,sky130_fd_sc_hd__a31oi_1,input,0,0,3.799781,0.265696,0.157431
_170_/A3,sky130_fd_sc_hd__a31oi_1,input,0,0,3.850573,0.561166,0.120579
_170_/B1,sky130_fd_sc_hd__a31oi_1,input,0,0,3.721444,0.284369,0.078501
_170_/Y,sky130_fd_sc_hd__a31oi_1,output,0,272,3.721444,0.839871,0.267872
_171_/A,sky130_fd_sc_hd__maj3_2,input,0,0,3.894559,0.337884,0.112143
_171_/B,sky130_fd_sc_hd__maj3_2,input,0,0,3.516920,0.106828,0.036388
_171_/C,sky130_fd_sc_hd__maj3_2,input,0,0,4.748962,0.839871,0.267872
_171_/X,sky130_fd_sc_hd__maj3_2,output,0,253,3.516920,0.200127,0.210710
_172_/A,sky130_fd_sc_hd__maj3_2,input,0,0,3.827765,0.337884,0.112143
_172_/B,sky130_fd_sc_hd__maj3_2,input,0,0,3.450125,0.106828,0.036388
_172_/C,sky130_fd_sc_hd__maj3_2,input,0,0,4.070155,0.200127,0.210710
_172_/X,sky130_fd_sc_hd__maj3_2,output,0,234,3.450125,0.200127,0.210710
_173_/A,sky130_fd_sc_hd__maj3_2,input,0,0,3.894525,0.337884,0.112143
_173_/B,sky130_fd_sc_hd__maj3_2,input,0,0,3.516886,0.106828,0.036388
_173_/C,sky130_fd_sc_hd__maj3_2,input,0,0,4.136882,0.200127,0.210710
_173_/X,sky130_fd_sc_hd__maj3_2,output,0,215,3.516886,0.200127,0.210710
_174_/A,sky130_fd_sc_hd__maj3_2,input,0,0,4.004244,0.099534,0.074247
_174_/B,sky130_fd_sc_hd__maj3_2,input,0,0,3.454682,0.106828,0.036388
_174_/C,sky130_fd_sc_hd__maj3_2,input,0,0,4.074694,0.200127,0.210710
_174_/X,sky130_fd_sc_hd__maj3_2,output,0,196,3.454682,0.198130,0.209068
_175_/A,sky130_fd_sc_hd__maj3_2,input,0,0,4.066428,0.099534,0.074247
_175_/B,sky130_fd_sc_hd__maj3_2,input,0,0,3.516881,0.106828,0.036388
_175_/C,sky130_fd_sc_hd__maj3_2,input,0,0,4.134141,0.198130,0.209068
_175_/X,sky130_fd_sc_hd__maj3_2,output,0,177,3.516881,0.200127,0.210369
_176_/A,sky130_fd_sc_hd__maj3_2,input,0,0,4.044480,0.077812,0.068740
_176_/B,sky130_fd_sc_hd__maj3_2,input,0,0,3.433324,0.106828,0.036388
_176_/C,sky130_fd_sc_hd__maj3_2,input,0,0,4.053316,0.200127,0.210369
_176_/X,sky130_fd_sc_hd__maj3_2,output,0,158,3.433324,0.200127,0.210281
_177_/A,sky130_fd_sc_hd__maj3_2,input,0,0,4.005933,0.077812,0.068740
_177_/B,sky130_fd_sc_hd__maj3_2,input,0,0,3.394777,0.106828,0.036388
_177_/C,sky130_fd_sc_hd__maj3_2,input,0,0,4.014772,0.200127,0.210281
_177_/X,sky130_fd_sc_hd__maj3_2,output,0,139,3.394777,0.200127,0.210281
_178_/A,sky130_fd_sc_hd__maj3_2,input,0,0,4.128488,0.194232,0.095736
_178_/B,sky130_fd_sc_hd__maj3_2,input,0,0,3.454682,0.106828,0.036388
_178_/C,sky130_fd_sc_hd__maj3_2,input,0,0,4.074694,0.200127,0.210281
_178_/X,sky130_fd_sc_hd__maj3_2,output,0,122,3.454682,0.198130,0.209433
_179_/A,sky130_fd_sc_hd__maj3_2,input,0,0,4.127396,0.155805,0.087431
_179_/B,sky130_fd_sc_hd__maj3_2,input,0,0,3.503620,0.106828,0.036388
_179_/C,sky130_fd_sc_hd__maj3_2,input,0,0,4.120896,0.198130,0.209433
_179_/X,sky130_fd_sc_hd__maj3_2,output,0,103,3.503620,0.198130,0.209292
_180_/A,sky130_fd_sc_hd__maj3_2,input,0,0,4.430465,0.599526,0.179326
_180_/B,sky130_fd_sc_hd__maj3_2,input,0,0,3.723355,0.106828,0.036388
_180_/C,sky130_fd_sc_hd__maj3_2,input,0,0,4.339540,0.198130,0.209292
_180_/X,sky130_fd_sc_hd__maj3_2,output,0,84,3.723355,0.335401,0.251811
_181_/A,sky130_fd_sc_hd__xnor2_1,input,0,0,3.629569,0.263695,0.093465
_181_/B,sky130_fd_sc_hd__xnor2_1,input,0,0,3.339139,0.000000,0.000000
_181_/Y,sky130_fd_sc_hd__xnor2_1,output,0,84,3.339139,1.663778,0.282086
_182_/A,sky130_fd_sc_hd__xnor2_4,input,0,0,3.723355,0.335401,0.251811
_182_/B,sky130_fd_sc_hd__xnor2_4,input,0,0,3.339139,1.663778,0.282086
_182_/Y,sky130_fd_sc_hd__xnor2_4,output,0,82,3.339139,0.361041,0.158805
_183_/A,sky130_fd_sc_hd__xor2_1,input,0,0,2.520787,0.599526,0.179326
_183_/B,sky130_fd_sc_hd__xor2_1,input,0,0,3.459285,0.319798,0.122532
_183_/X,sky130_fd_sc_hd__xor2_1,output,0,6,2.520787,0.492034,0.128264
_184_/A,sky130_fd_sc_hd__nor2_1,input,0,0,3.043764,0.155805,0.087431
_184_/B,sky130_fd_sc_hd__nor2_1,input,0,0,3.705124,0.319798,0.122532
_184_/Y,sky130_fd_sc_hd__nor2_1,output,0,15,3.043764,0.402995,0.076662
_185_/A,sky130_fd_sc_hd__xor2_2,input,0,0,3.252859,0.194232,0.095736
_185_/B,sky130_fd_sc_hd__xor2_2,input,0,0,3.938078,0.319798,0.122532
_185_/X,sky130_fd_sc_hd__xor2_2,output,0,40,3.252859,0.509998,0.114693
_186_/A,sky130_fd_sc_hd__xnor2_1,input,0,0,3.672900,0.599526,0.179326
_186_/B,sky130_fd_sc_hd__xnor2_1,input,0,0,3.168913,0.000000,0.000000
_186_/Y,sky130_fd_sc_hd__xnor2_1,output,0,62,3.168913,0.623108,0.129782
_187_/A,sky130_fd_sc_hd__xnor2_1,input,0,0,3.503620,0.198130,0.209292
_187_/B,sky130_fd_sc_hd__xnor2_1,input,0,0,3.168913,0.623108,0.129782
_187_/Y,sky130_fd_sc_hd__xnor2_1,output,0,60,3.168913,0.711643,0.136567
_188_/A,sky130_fd_sc_hd__xnor2_1,input,0,0,3.483822,0.245439,0.088658
_188_/B,sky130_fd_sc_hd__xnor2_1,input,0,0,3.119971,0.000000,0.000000
_188_/Y,sky130_fd_sc_hd__xnor2_1,output,0,71,3.119971,0.623646,0.115852
_189_/A,sky130_fd_sc_hd__xnor2_1,input,0,0,3.454682,0.198130,0.209433
_189_/B,sky130_fd_sc_hd__xnor2_1,input,0,0,3.119971,0.623646,0.115852
_189_/Y,sky130_fd_sc_hd__xnor2_1,output,0,69,3.119971,0.711641,0.136610
_190_/A,sky130_fd_sc_hd__xnor2_1,input,0,0,3.424546,0.245439,0.088658
_190_/B,sky130_fd_sc_hd__xnor2_1,input,0,0,3.066223,0.000000,0.000000
_190_/Y,sky130_fd_sc_hd__xnor2_1,output,0,78,3.066224,0.612551,0.112332
_191_/A,sky130_fd_sc_hd__xnor2_1,input,0,0,3.066224,0.612551,0.112332
_191_/B,sky130_fd_sc_hd__xnor2_1,input,0,0,3.394777,0.200127,0.210281
_191_/Y,sky130_fd_sc_hd__xnor2_1,output,0,76,3.066224,0.713208,0.140224
_192_/A,sky130_fd_sc_hd__xnor2_1,input,0,0,3.489610,0.314899,0.105421
_192_/B,sky130_fd_sc_hd__xnor2_1,input,0,0,3.104771,0.000000,0.000000
_192_/Y,sky130_fd_sc_hd__xnor2_1,output,0,87,3.104771,0.612937,0.112332
_193_/A,sky130_fd_sc_hd__xnor2_1,input,0,0,3.104771,0.612937,0.112332
_193_/B,sky130_fd_sc_hd__xnor2_1,input,0,0,3.433324,0.200127,0.210281
_193_/Y,sky130_fd_sc_hd__xnor2_1,output,0,85,3.104771,0.713208,0.140251
_194_/A,sky130_fd_sc_hd__xnor2_1,input,0,0,3.573171,0.314899,0.105421
_194_/B,sky130_fd_sc_hd__xnor2_1,input,0,0,3.188332,0.000000,0.000000
_194_/Y,sky130_fd_sc_hd__xnor2_1,output,0,96,3.188332,0.612937,0.112332
_195_/A,sky130_fd_sc_hd__xnor2_1,input,0,0,3.188332,0.612937,0.112332
_195_/B,sky130_fd_sc_hd__xnor2_1,input,0,0,3.516881,0.200127,0.210369
_195_/Y,sky130_fd_sc_hd__xnor2_1,output,0,94,3.188332,0.713208,0.140251
_196_/A,sky130_fd_sc_hd__xnor2_1,input,0,0,3.483822,0.245439,0.088658
_196_/B,sky130_fd_sc_hd__xnor2_1,input,0,0,3.119971,0.000000,0.000000
_196_/Y,sky130_fd_sc_hd__xnor2_1,output,0,105,3.119971,0.623646,0.115852
_197_/A,sky130_fd_sc_hd__xnor2_1,input,0,0,3.454682,0.198130,0.209068
_197_/B,sky130_fd_sc_hd__xnor2_1,input,0,0,3.119971,0.623646,0.115852
_197_/Y,sky130_fd_sc_hd__xnor2_1,output,0,103,3.119971,0.711647,0.136610
_198_/A,sky130_fd_sc_hd__xnor2_1,input,0,0,3.546655,0.245439,0.088658
_198_/B,sky130_fd_sc_hd__xnor2_1,input,0,0,3.188332,0.000000,0.000000
_198_/Y,sky130_fd_sc_hd__xnor2_1,output,0,114,3.188332,0.612551,0.112332
_199_/A,sky130_fd_sc_hd__xnor2_1,input,0,0,3.188332,0.612551,0.112332
_199_/B,sky130_fd_sc_hd__xnor2_1,input,0,0,3.516886,0.200127,0.210710
_199_/Y,sky130_fd_sc_hd__xnor2_1,output,0,112,3.188332,0.713208,0.140224
_200_/A,sky130_fd_sc_hd__xnor2_1,input,0,0,3.517186,0.337884,0.112143
_200_/B,sky130_fd_sc_hd__xnor2_1,input,0,0,3.121572,0.000000,0.000000
_200_/Y,sky130_fd_sc_hd__xnor2_1,output,0,123,3.121572,0.612855,0.112332
_201_/A,sky130_fd_sc_hd__xnor2_1,input,0,0,3.121572,0.612855,0.112332
_201_/B,sky130_fd_sc_hd__xnor2_1,input,0,0,3.450125,0.200127,0.210710
_201_/Y,sky130_fd_sc_hd__xnor2_1,output,0,121,3.121572,0.713208,0.140245
_202_/A,sky130_fd_sc_hd__xnor2_1,input,0,0,3.583947,0.337884,0.112143
_202_/B,sky130_fd_sc_hd__xnor2_1,input,0,0,3.188332,0.000000,0.000000
_202_/Y,sky130_fd_sc_hd__xnor2_1,output,0,132,3.188333,0.612855,0.112332
_203_/A,sky130_fd_sc_hd__xnor2_1,input,0,0,3.188333,0.612855,0.112332
_203_/B,sky130_fd_sc_hd__xnor2_1,input,0,0,3.516920,0.200127,0.210710
_203_/Y,sky130_fd_sc_hd__xnor2_1,output,0,130,3.188333,0.713208,0.140245
_204_/A,sky130_fd_sc_hd__xnor2_1,input,0,0,3.512661,0.337884,0.112143
_204_/B,sky130_fd_sc_hd__xnor2_1,input,0,0,3.133430,0.000000,0.000000
_204_/Y,sky130_fd_sc_hd__xnor2_1,output,0,141,3.133430,0.623952,0.115852
_205_/A,sky130_fd_sc_hd__xnor2_1,input,0,0,3.721444,0.839871,0.267872
_205_/B,sky130_fd_sc_hd__xnor2_1,input,0,0,3.133430,0.623952,0.115852
_205_/Y,sky130_fd_sc_hd__xnor2_1,output,0,139,3.133430,0.771207,0.165837
_206_/A,sky130_fd_sc_hd__maj3_2,input,0,0,3.397855,0.138697,0.083840
_206_/B,sky130_fd_sc_hd__maj3_2,input,0,0,3.666430,0.213475,0.117884
_206_/C,sky130_fd_sc_hd__maj3_2,input,0,0,3.614141,0.771207,0.165837
_206_/X,sky130_fd_sc_hd__maj3_2,output,0,128,3.397855,0.167451,0.198768
_207_/A,sky130_fd_sc_hd__maj3_2,input,0,0,3.130689,0.138943,0.083784
_207_/B,sky130_fd_sc_hd__maj3_2,input,0,0,3.294822,0.713208,0.140245
_207_/C,sky130_fd_sc_hd__maj3_2,input,0,0,3.716741,0.167451,0.198768
_207_/X,sky130_fd_sc_hd__maj3_2,output,0,119,3.130689,0.167859,0.198766
_208_/A,sky130_fd_sc_hd__maj3_2,input,0,0,3.705211,0.139275,0.083843
_208_/B,sky130_fd_sc_hd__maj3_2,input,0,0,3.551276,0.713208,0.140245
_208_/C,sky130_fd_sc_hd__maj3_2,input,0,0,3.962491,0.167859,0.198766
_208_/X,sky130_fd_sc_hd__maj3_2,output,0,110,3.551276,0.167859,0.198768
_209_/A,sky130_fd_sc_hd__maj3_2,input,0,0,3.275072,0.138437,0.083816
_209_/B,sky130_fd_sc_hd__maj3_2,input,0,0,3.294822,0.713208,0.140224
