pin_id,cell_type,direction,is_clk,fanout,slack_min,slew_r,slew_f
UPDATE_COEFFICIENTS.tapwidx[0]$_SDFFE_PP0P_/D,sky130_fd_sc_hd__dfxtp_1,input,0,0,1.360358,0.104245,0.083229
UPDATE_COEFFICIENTS.tapwidx[0]$_SDFFE_PP0P_/Q,sky130_fd_sc_hd__dfxtp_1,output,0,2611,2.006424,0.688269,0.199061
UPDATE_COEFFICIENTS.tapwidx[0]$_SDFFE_PP0P_/CLK,sky130_fd_sc_hd__dfxtp_1,input,1,0,2.006424,0.000000,0.000000
UPDATE_COEFFICIENTS.tapwidx[1]$_SDFFE_PP0P_/D,sky130_fd_sc_hd__dfxtp_1,input,0,0,1.664594,0.130151,0.084350
UPDATE_COEFFICIENTS.tapwidx[1]$_SDFFE_PP0P_/Q,sky130_fd_sc_hd__dfxtp_1,output,0,2613,2.206512,0.162223,0.066620
UPDATE_COEFFICIENTS.tapwidx[1]$_SDFFE_PP0P_/CLK,sky130_fd_sc_hd__dfxtp_1,input,1,0,2.206512,0.000000,0.000000
UPDATE_COEFFICIENTS.tapwidx[2]$_SDFFE_PP0P_/D,sky130_fd_sc_hd__dfxtp_1,input,0,0,1.231392,0.268723,0.060742
UPDATE_COEFFICIENTS.tapwidx[2]$_SDFFE_PP0P_/Q,sky130_fd_sc_hd__dfxtp_1,output,0,2603,1.993574,0.362068,0.117385
UPDATE_COEFFICIENTS.tapwidx[2]$_SDFFE_PP0P_/CLK,sky130_fd_sc_hd__dfxtp_1,input,1,0,1.993574,0.000000,0.000000
UPDATE_COEFFICIENTS.tapwidx[3]$_SDFFE_PP0P_/D,sky130_fd_sc_hd__dfxtp_1,input,0,0,1.558330,0.103876,0.082682
UPDATE_COEFFICIENTS.tapwidx[3]$_SDFFE_PP0P_/Q,sky130_fd_sc_hd__dfxtp_1,output,0,2573,2.175884,0.162223,0.066620
